,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,MA1101,Functions of several variables,anoop,barun,chsrao,samy,priyanka,manam,sdubey,sryedida,sathishkumar,anoop,barun,chsrao,samy,priyanka
1,MA2020,Differential equations,arijit,balaji5,kunal,neelesh,rameshk,naru,,,,,,,,
2,MA2040,Probability stochastic process and statistics,garunkumar,sarang,kcskumar,asingh,,,,,,,,,,
3,MA2031,Linear algebra for engineers,anujjakhar,aprameyan,,,,,,,,,,,,
4,MA2010,Complex variables,jayanav,kmahalingam,,,,,,,,,,,,
5,MA1101,Functions of several variables,manam,sdubey,sryedida,sathishkumar,anoop,barun,chsrao,samy,priyanka,manam,sdubey,sryedida,sathishkumar,
6,MA2020,Differential equations,arijit,balaji5,kunal,neelesh,rameshk,naru,,,,,,,,
7,MA2040,Probability stochastic process and statistics,garunkumar,sarang,kcskumar,asingh,,,,,,,,,,
8,MA2031,Linear algebra for engineers,anujjakhar,aprameyan,,,,,,,,,,,,
9,MA2010,Complex variables,jayanav,kmahalingam,,,,,,,,,,,,
10,MA1101,Functions of several variables,,,,,,,,,,,,,,
11,MA2020,Differential equations,arijit,balaji5,kunal,neelesh,rameshk,naru,,,,,,,,
12,MA2040,Probability stochastic process and statistics,garunkumar,sarang,kcskumar,asingh,,,,,,,,,,
13,MA2031,Linear algebra for engineers,anujjakhar,aprameyan,,,,,,,,,,,,
14,MA2010,Complex variables,jayanav,kmahalingam,,,,,,,,,,,,
