MA1102,sryedida,kcskumar,sdubey,kunal,santanu,vuma,naru,anoop,aprameyan,rameshk,barun,surjit
MA2010,soumen,,,,,,,,,,,
MA2020,manam,jayanav,ushar,,,,,,,,,
MA2031,balaji5,priyanka,,,,,,,,,,
MA2040,slnt,vetri,ajshaiju,sarang,,,,,,,,
MA2130,sounak,,,,,,,,,,,
MA5017,arijit,,,,,,,,,,,
MA5140,suhas,,,,,,,,,,,
MA5312,barun,,,,,,,,,,,
MA5314,aprameyan,,,,,,,,,,,
MA5340,bsriram,,,,,,,,,,,
MA5350,ramar,,,,,,,,,,,
MA5360,sumeshkpl,,,,,,,,,,,
MA5380,tevbal,,,,,,,,,,,
MA5440,kmahalingam,,,,,,,,,,,
MA5470,chand,,,,,,,,,,,
MA5720,sjroy,,,,,,,,,,,
MA5895,sivaambi,,,,,,,,,,,
MA5920,chsrao,,,,,,,,,,,
MA6003,radharam,,,,,,,,,,,
MA6006,sdubey,,,,,,,,,,,
MA6180,dipramit,,,,,,,,,,,
MA6380,neelesh,,,,,,,,,,,
MA7860,asingh,,,,,,,,,,,
MA7880,ajshaiju,,,,,,,,,,,
MA7890,vuma,,,,,,,,,,,
MA5770,chand,,,,,,,,,,,
MA6270,sjroy,,,,,,,,,,,
MA7830,sarang
