Course,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14
MA1102,samy,ramar,sjroy,chand,sounak,sdubey,balaji5,kunal,anoop,priyanka,sumeshkpl,surjit,sathishkumar,anujjakhar
MA2020,chsrao,vuma,ushar,anujjakhar,,,,,,,,,,
MA2031,sryedida,bsriram,aprameyan,rameshk,,,,,,,,,,
MA2040,vetri,santanu,dipramit,barun,,,,,,,,,,
MA2070,tevbal,,,,,,,,,,,,,
MA5140,sarang,,,,,,,,,,,,,
MA5312,barun,,,,,,,,,,,,,
MA5314,aprameyan,,,,,,,,,,,,,
MA5340,radharam,,,,,,,,,,,,,
MA5350,naru,,,,,,,,,,,,,
MA5360,kunal,,,,,,,,,,,,,
MA5380,vuma,,,,,,,,,,,,,
MA5470,sivaambi,,,,,,,,,,,,,
MA5755,slnt,,,,,,,,,,,,,
MA5770,priyanka,,,,,,,,,,,,,
MA5920,manam,,,,,,,,,,,,,
MA6005,asingh,,,,,,,,,,,,,
MA6006,sdubey,,,,,,,,,,,,,
MA6110,anoop,,,,,,,,,,,,,
MA6150,sumeshkpl,,,,,,,,,,,,,
MA6180,arijit,,,,,,,,,,,,,
MA6270,sjroy,,,,,,,,,,,,,
MA6312,ajshaiju,,,,,,,,,,,,,
MA6380,neelesh,,,,,,,,,,,,,
MA6490,dipramit,,,,,,,,,,,,,
MA7015,santanu,,,,,,,,,,,,,
MA7830,jayanav,,,,,,,,,,,,,
MA7860,garunkumar,,,,,,,,,,,,,
MA7890,suhas,,,,,,,,,,,,,
MAPCT0,kmahalingam,soumen,,,,,,,,,,,,
MA5013,neelesh
