,0,1,2,3,4,5,6,7,8,9,10,11,12
0,MA2010,Complex variables,sivaambi,manam,,,,,,,,,
1,MA1101,Functions of several variables,sryedida,chand,aprameyan,anujjakhar,tevbal,jayanav,dipramit,ushar,kcskumar,ajshaiju,sumeshkpl
2,MA2031,Linear algebra for engineers,kmahalingam,soumen,,,,,,,,,
3,MA2020,Differential equations,suhas,ramar,radharam,garunkumar,asingh,chsrao,,,,,
4,MA2040,Probability stochastic process and statistics,neelesh,sjroy,samy,naru,,,,,,,
5,MA5350,Combinatorics,asingh,,,,,,,,,,
6,MA5741,Object oriented programming,,,,,,,,,,,
7,MA5892,Numerical methods & scientific computing,,,,,,,,,,,
8,MA5340,Measure and integration,anujjakhar,,,,,,,,,,
9,MA6420,Algebraic theory of codes and automata,,,,,,,,,,,
10,MA6180,Introduction to algebraic geometry,,,,,,,,,,,
11,MA5910,Data structures & algorithms,,,,,,,,,,,
12,MA6490,Introduction to algebraic number theory,,,,,,,,,,,
13,MA5390,Ordinary differential equations,barun,,,,,,,,,,
14,MA5400,Probability theory,garunkumar,,,,,,,,,,
15,MA6460,Computational fluid dynamics,,,,,,,,,,,
16,MA6190,Mathematical logic,,,,,,,,,,,
17,MA6480,Galois theory,,,,,,,,,,,
18,MA5370,Multivariable calculus,anoop,,,,,,,,,,
19,MA6200,Theory of computation,,,,,,,,,,,
20,MA6210,Combinatorial optimization,,,,,,,,,,,
21,MA6470,Commutative algebra,,,,,,,,,,,
22,MA5710,Mathematical modelling in industry,,,,,,,,,,,
23,MA6270,Numerical solution of pde,,,,,,,,,,,
24,MA5770,Modelling workshop,,,,,,,,,,,
25,MA5755,Data analysis & visualization in r/python/sql,,,,,,,,,,,
26,MA5895,Numerical optimization,,,,,,,,,,,
27,MA6312,Mathematical theory of games,,,,,,,,,,,
28,MA5960,Project proposal and progress,,,,,,,,,,,
29,MA6230,Graph theory,,,,,,,,,,,
30,MA6360,Optimization techniques,,,,,,,,,,,
31,MA6380,Stochastic methods in industry,,,,,,,,,,,
